Entity,Code,Year,"Fertility rate (period), historical"
Austria,AUT,1950,2.089
Austria,AUT,1951,2.035
Austria,AUT,1952,2.068
Austria,AUT,1953,2.09
Austria,AUT,1954,2.139
Austria,AUT,1955,2.268
Austria,AUT,1956,2.456
Austria,AUT,1957,2.549
Austria,AUT,1958,2.592
Austria,AUT,1959,2.678
Austria,AUT,1960,2.689
Austria,AUT,1961,2.787
Austria,AUT,1962,2.801
Austria,AUT,1963,2.817
Austria,AUT,1964,2.779
Austria,AUT,1965,2.697
Austria,AUT,1966,2.672
Austria,AUT,1967,2.629
Austria,AUT,1968,2.585
Austria,AUT,1969,2.484
Austria,AUT,1970,2.294
Austria,AUT,1971,2.194
Austria,AUT,1972,2.077
Austria,AUT,1973,1.931
Austria,AUT,1974,1.902
Austria,AUT,1975,1.823
Austria,AUT,1976,1.681
Austria,AUT,1977,1.623
Austria,AUT,1978,1.597
Austria,AUT,1979,1.597
Austria,AUT,1980,1.651
Austria,AUT,1981,1.672
Austria,AUT,1982,1.661
Austria,AUT,1983,1.563
Austria,AUT,1984,1.526
Austria,AUT,1985,1.479
Austria,AUT,1986,1.455
Austria,AUT,1987,1.44
Austria,AUT,1988,1.457
Austria,AUT,1989,1.455
Austria,AUT,1990,1.467
Austria,AUT,1991,1.516
Austria,AUT,1992,1.516
Austria,AUT,1993,1.512
Austria,AUT,1994,1.474
Austria,AUT,1995,1.431
Austria,AUT,1996,1.448
Austria,AUT,1997,1.395
Austria,AUT,1998,1.371
Austria,AUT,1999,1.344
Austria,AUT,2000,1.364
Austria,AUT,2001,1.331
Austria,AUT,2002,1.389
Austria,AUT,2003,1.373
Austria,AUT,2004,1.415
Austria,AUT,2005,1.406
Austria,AUT,2006,1.404
Austria,AUT,2007,1.381
Austria,AUT,2008,1.411
Austria,AUT,2009,1.393
Austria,AUT,2010,1.44
Austria,AUT,2011,1.43
Austria,AUT,2012,1.44
Austria,AUT,2013,1.436
Austria,AUT,2014,1.464
Austria,AUT,2015,1.492
Austria,AUT,2016,1.531
Austria,AUT,2017,1.521
Austria,AUT,2018,1.479
Austria,AUT,2019,1.464
Austria,AUT,2020,1.439
Austria,AUT,2021,1.469
Austria,AUT,2022,1.41
Austria,AUT,2023,1.317
Croatia,HRV,1950,2.933
Croatia,HRV,1951,2.662
Croatia,HRV,1952,2.725
Croatia,HRV,1953,2.681
Croatia,HRV,1954,2.629
Croatia,HRV,1955,2.588
Croatia,HRV,1956,2.504
Croatia,HRV,1957,2.361
Croatia,HRV,1958,2.26
Croatia,HRV,1959,2.27
Croatia,HRV,1960,2.239
Croatia,HRV,1961,2.219
Croatia,HRV,1962,2.192
Croatia,HRV,1963,2.145
Croatia,HRV,1964,2.142
Croatia,HRV,1965,2.224
Croatia,HRV,1966,2.227
Croatia,HRV,1967,2.102
Croatia,HRV,1968,2.027
Croatia,HRV,1969,1.951
Croatia,HRV,1970,1.882
Croatia,HRV,1971,1.974
Croatia,HRV,1972,2.007
Croatia,HRV,1973,2.013
Croatia,HRV,1974,1.983
Croatia,HRV,1975,1.951
Croatia,HRV,1976,1.936
Croatia,HRV,1977,1.947
Croatia,HRV,1978,1.955
Croatia,HRV,1979,1.947
Croatia,HRV,1980,1.931
Croatia,HRV,1981,1.926
Croatia,HRV,1982,1.91
Croatia,HRV,1983,1.891
Croatia,HRV,1984,1.875
Croatia,HRV,1985,1.828
Croatia,HRV,1986,1.773
Croatia,HRV,1987,1.745
Croatia,HRV,1988,1.706
Croatia,HRV,1989,1.648
Croatia,HRV,1990,1.628
Croatia,HRV,1991,1.543
Croatia,HRV,1992,1.462
Croatia,HRV,1993,1.508
Croatia,HRV,1994,1.52
Croatia,HRV,1995,1.579
Croatia,HRV,1996,1.675
Croatia,HRV,1997,1.685
Croatia,HRV,1998,1.499
Croatia,HRV,1999,1.438
Croatia,HRV,2000,1.423
Croatia,HRV,2001,1.458
Croatia,HRV,2002,1.428
Croatia,HRV,2003,1.412
Croatia,HRV,2004,1.419
Croatia,HRV,2005,1.506
Croatia,HRV,2006,1.469
Croatia,HRV,2007,1.487
Croatia,HRV,2008,1.555
Croatia,HRV,2009,1.588
Croatia,HRV,2010,1.551
Croatia,HRV,2011,1.485
Croatia,HRV,2012,1.516
Croatia,HRV,2013,1.461
Croatia,HRV,2014,1.461
Croatia,HRV,2015,1.403
Croatia,HRV,2016,1.427
Croatia,HRV,2017,1.423
Croatia,HRV,2018,1.472
Croatia,HRV,2019,1.47
Croatia,HRV,2020,1.484
Croatia,HRV,2021,1.624
Croatia,HRV,2022,1.53
Croatia,HRV,2023,1.468
Hungary,HUN,1950,2.615
Hungary,HUN,1951,2.544
Hungary,HUN,1952,2.484
Hungary,HUN,1953,2.75
Hungary,HUN,1954,2.964
Hungary,HUN,1955,2.817
Hungary,HUN,1956,2.607
Hungary,HUN,1957,2.296
Hungary,HUN,1958,2.176
Hungary,HUN,1959,2.079
Hungary,HUN,1960,2.021
Hungary,HUN,1961,1.937
Hungary,HUN,1962,1.801
Hungary,HUN,1963,1.82
Hungary,HUN,1964,1.814
Hungary,HUN,1965,1.82
Hungary,HUN,1966,1.89
Hungary,HUN,1967,2.013
Hungary,HUN,1968,2.067
Hungary,HUN,1969,2.041
Hungary,HUN,1970,1.98
Hungary,HUN,1971,1.931
Hungary,HUN,1972,1.931
Hungary,HUN,1973,1.952
Hungary,HUN,1974,2.284
Hungary,HUN,1975,2.363
Hungary,HUN,1976,2.251
Hungary,HUN,1977,2.164
Hungary,HUN,1978,2.077
Hungary,HUN,1979,2.018
Hungary,HUN,1980,1.92
Hungary,HUN,1981,1.877
Hungary,HUN,1982,1.796
Hungary,HUN,1983,1.745
Hungary,HUN,1984,1.757
Hungary,HUN,1985,1.847
Hungary,HUN,1986,1.846
