Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium
Austria,AUT,1950,34.825,
Austria,AUT,1951,34.924,
Austria,AUT,1952,34.765,
Austria,AUT,1953,34.311,
Austria,AUT,1954,34.057,
Austria,AUT,1955,34.116,
Austria,AUT,1956,34.258,
Austria,AUT,1957,34.376,
Austria,AUT,1958,34.467,
Austria,AUT,1959,34.524,
Austria,AUT,1960,34.527,
Austria,AUT,1961,34.493,
Austria,AUT,1962,34.399,
Austria,AUT,1963,34.257,
Austria,AUT,1964,34.121,
Austria,AUT,1965,33.98,
Austria,AUT,1966,33.806,
Austria,AUT,1967,33.6,
Austria,AUT,1968,33.343,
Austria,AUT,1969,33.024,
Austria,AUT,1970,32.705,
Austria,AUT,1971,32.401,
Austria,AUT,1972,32.306,
Austria,AUT,1973,32.45,
Austria,AUT,1974,32.71,
Austria,AUT,1975,33,
Austria,AUT,1976,33.215,
Austria,AUT,1977,33.356,
Austria,AUT,1978,33.512,
Austria,AUT,1979,33.634,
Austria,AUT,1980,33.613,
Austria,AUT,1981,33.569,
Austria,AUT,1982,33.692,
Austria,AUT,1983,33.887,
Austria,AUT,1984,34.043,
Austria,AUT,1985,34.174,
Austria,AUT,1986,34.284,
Austria,AUT,1987,34.417,
Austria,AUT,1988,34.544,
Austria,AUT,1989,34.59,
Austria,AUT,1990,34.584,
Austria,AUT,1991,34.582,
Austria,AUT,1992,34.625,
Austria,AUT,1993,34.761,
Austria,AUT,1994,35.001,
Austria,AUT,1995,35.302,
Austria,AUT,1996,35.628,
Austria,AUT,1997,35.982,
Austria,AUT,1998,36.359,
Austria,AUT,1999,36.742,
Austria,AUT,2000,37.14,
Austria,AUT,2001,37.553,
Austria,AUT,2002,37.922,
Austria,AUT,2003,38.254,
Austria,AUT,2004,38.586,
Austria,AUT,2005,38.924,
Austria,AUT,2006,39.298,
Austria,AUT,2007,39.685,
Austria,AUT,2008,40.062,
Austria,AUT,2009,40.451,
Austria,AUT,2010,40.84,
Austria,AUT,2011,41.207,
Austria,AUT,2012,41.513,
Austria,AUT,2013,41.759,
Austria,AUT,2014,41.945,
Austria,AUT,2015,41.997,
Austria,AUT,2016,42.007,
Austria,AUT,2017,42.115,
Austria,AUT,2018,42.274,
Austria,AUT,2019,42.433,
Austria,AUT,2020,42.572,
Austria,AUT,2021,42.678,
Austria,AUT,2022,42.832,
Austria,AUT,2023,43.086,
Austria,AUT,2024,,43.367
Austria,AUT,2025,,43.648
Austria,AUT,2026,,43.942
Austria,AUT,2027,,44.239
Austria,AUT,2028,,44.528
Austria,AUT,2029,,44.812
Austria,AUT,2030,,45.096
Austria,AUT,2031,,45.38
Austria,AUT,2032,,45.663
Austria,AUT,2033,,45.941
Austria,AUT,2034,,46.217
Austria,AUT,2035,,46.497
Austria,AUT,2036,,46.775
Austria,AUT,2037,,47.057
Austria,AUT,2038,,47.332
Austria,AUT,2039,,47.601
Austria,AUT,2040,,47.868
Austria,AUT,2041,,48.124
Austria,AUT,2042,,48.361
Austria,AUT,2043,,48.577
Austria,AUT,2044,,48.765
Austria,AUT,2045,,48.922
Austria,AUT,2046,,49.052
Austria,AUT,2047,,49.154
Austria,AUT,2048,,49.209
Austria,AUT,2049,,49.216
Austria,AUT,2050,,49.18
Austria,AUT,2051,,49.1
Austria,AUT,2052,,49.002
Austria,AUT,2053,,48.923
Austria,AUT,2054,,48.864
Austria,AUT,2055,,48.82
Austria,AUT,2056,,48.78
Austria,AUT,2057,,48.745
Austria,AUT,2058,,48.717
Austria,AUT,2059,,48.693
Austria,AUT,2060,,48.681
Austria,AUT,2061,,48.679
Austria,AUT,2062,,48.688
Austria,AUT,2063,,48.712
Austria,AUT,2064,,48.752
Austria,AUT,2065,,48.818
Austria,AUT,2066,,48.91
Austria,AUT,2067,,49.018
Austria,AUT,2068,,49.12
Austria,AUT,2069,,49.209
Austria,AUT,2070,,49.287
Austria,AUT,2071,,49.371
Austria,AUT,2072,,49.459
Austria,AUT,2073,,49.518
Austria,AUT,2074,,49.534
Austria,AUT,2075,,49.528
Austria,AUT,2076,,49.514
Austria,AUT,2077,,49.498
Austria,AUT,2078,,49.476
Austria,AUT,2079,,49.44
Austria,AUT,2080,,49.388
Austria,AUT,2081,,49.326
