Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 25-64 - Variant: estimates,Population - Sex: all - Age: 15-24 - Variant: estimates,Population - Sex: all - Age: 5-14 - Variant: estimates,Population - Sex: all - Age: 0-4 - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 25-64 - Variant: estimates,Population - Sex: all - Age: 15-24 - Variant: estimates,Population - Sex: all - Age: 5-14 - Variant: estimates,Population - Sex: all - Age: 0-4 - Variant: estimates
Austria,AUT,1950,722468,3684922,949938,1062936,516129,722468,3684922,949938,1062936,516129
Austria,AUT,1951,736802,3682636,923926,1066387,520667,736802,3682636,923926,1066387,520667
Austria,AUT,1952,751376,3679321,900796,1083134,512563,751376,3679321,900796,1083134,512563
Austria,AUT,1953,766428,3677764,884636,1105593,497596,766428,3677764,884636,1105593,497596
Austria,AUT,1954,780808,3676826,894307,1098506,489367,780808,3676826,894307,1098506,489367
Austria,AUT,1955,792581,3675205,926664,1062992,489148,792581,3675205,926664,1062992,489148
Austria,AUT,1956,804006,3666858,957003,1025813,498525,804006,3666858,957003,1025813,498525
Austria,AUT,1957,816473,3653784,978806,1002313,514399,816473,3653784,978806,1002313,514399
Austria,AUT,1958,829882,3639167,997508,989021,531690,829882,3639167,997508,989021,531690
Austria,AUT,1959,845417,3619754,1020555,977519,550948,845417,3619754,1020555,977519,550948
Austria,AUT,1960,861115,3598552,1034038,982591,570904,861115,3598552,1034038,982591,570904
Austria,AUT,1961,879434,3576360,1040743,1000834,588616,879434,3576360,1040743,1000834,588616
Austria,AUT,1962,898498,3555074,1060059,1011521,604340,898498,3555074,1060059,1011521,604340
Austria,AUT,1963,916330,3538955,1081339,1018986,619808,916330,3538955,1081339,1018986,619808
Austria,AUT,1964,936964,3544870,1074063,1034419,632990,936964,3544870,1074063,1034419,632990
Austria,AUT,1965,957604,3572557,1042031,1057501,640617,957604,3572557,1042031,1057501,640617
Austria,AUT,1966,978528,3600079,1013403,1087197,642216,978528,3600079,1013403,1087197,642216
Austria,AUT,1967,1000642,3615834,999243,1120850,639628,1000642,3615834,999243,1120850,639628
Austria,AUT,1968,1019426,3613598,994765,1153260,633471,1019426,3613598,994765,1153260,633471
Austria,AUT,1969,1035528,3604296,993214,1184274,622885,1035528,3604296,993214,1184274,622885
Austria,AUT,1970,1050211,3586375,1010371,1210961,608292,1050211,3586375,1010371,1210961,608292
Austria,AUT,1971,1065212,3569740,1040686,1232661,591225,1065212,3569740,1040686,1232661,591225
Austria,AUT,1972,1081085,3579387,1059962,1250939,571767,1081085,3579387,1059962,1250939,571767
Austria,AUT,1973,1096896,3601718,1073417,1265254,547694,1096896,3601718,1073417,1265254,547694
Austria,AUT,1974,1112320,3606793,1086086,1271017,521615,1112320,3606793,1086086,1271017,521615
Austria,AUT,1975,1125897,3592508,1098573,1262434,498282,1125897,3592508,1098573,1262434,498282
Austria,AUT,1976,1136708,3583453,1123070,1243448,477633,1136708,3583453,1123070,1243448,477633
Austria,AUT,1977,1148563,3583333,1157150,1218962,459169,1148563,3583333,1157150,1218962,459169
Austria,AUT,1978,1158948,3581917,1189405,1186093,444683,1158948,3581917,1189405,1186093,444683
Austria,AUT,1979,1165312,3581248,1219563,1147926,434132,1165312,3581248,1219563,1147926,434132
Austria,AUT,1980,1161776,3597595,1247472,1111323,430077,1161776,3597595,1247472,1111323,430077
Austria,AUT,1981,1142524,3642806,1270439,1076896,434714,1142524,3642806,1270439,1076896,434714
Austria,AUT,1982,1114967,3694094,1283522,1037713,442613,1114967,3694094,1283522,1037713,442613
Austria,AUT,1983,1086085,3741348,1290086,994331,449140,1086085,3741348,1290086,994331,449140
Austria,AUT,1984,1070153,3786683,1293389,956118,454184,1070153,3786683,1293389,956118,454184
Austria,AUT,1985,1072976,3820020,1287308,928935,454868,1072976,3820020,1287308,928935,454868
Austria,AUT,1986,1085559,3849682,1271137,912171,450640,1085559,3849682,1271137,912171,450640
Austria,AUT,1987,1101708,3881359,1244622,901826,444579,1101708,3881359,1244622,901826,444579
Austria,AUT,1988,1118152,3917531,1211470,897047,440903,1118152,3917531,1211470,897047,440903
Austria,AUT,1989,1133500,3966330,1182010,896420,441897,1133500,3966330,1182010,896420,441897
Austria,AUT,1990,1148175,4027960,1157737,898997,446492,1148175,4027960,1157737,898997,446492
Austria,AUT,1991,1160901,4099987,1133217,907584,455161,1160901,4099987,1133217,907584,455161
Austria,AUT,1992,1171102,4177413,1106798,921764,465334,1171102,4177413,1106798,921764,465334
Austria,AUT,1993,1181575,4245291,1074181,934056,472056,1181575,4245291,1074181,934056,472056
Austria,AUT,1994,1193030,4293704,1036131,941378,473559,1193030,4293704,1036131,941378,473559
Austria,AUT,1995,1204190,4325309,1004627,944582,471248,1204190,4325309,1004627,944582,471248
Austria,AUT,1996,1213807,4352711,983198,945501,465309,1213807,4352711,983198,945501,465309
Austria,AUT,1997,1221743,4379254,967930,945002,455448,1221743,4379254,967930,945002,455448
Austria,AUT,1998,1228260,4402194,959119,945169,443266,1228260,4402194,959119,945169,443266
Austria,AUT,1999,1232857,4427653,955547,946649,430711,1232857,4427653,955547,946649,430711
Austria,AUT,2000,1236768,4455473,954723,945962,419490,1236768,4455473,954723,945962,419490
Austria,AUT,2001,1243089,4487218,958923,944735,407727,1243089,4487218,958923,944735,407727
